"Ssbsect Term Code","Ssbsect, Crn","Ssbsect, ,. Subj Code","Ssbsect Crse Numb","Section-Course Title","zst_clob_to_string  'SCBDESC' ","Ssrmeet Start Date","Ssrmeet End Date","Ssrmeet Begin Time","Ssrmeet End Time","Ssrmeet All Days","Ssrmeet Begin Time am/pm","Ssrmeet End Time am/pm round up to 1/2 hr","Ssrfees Fees c","Ssrfees GST c"
"201382","2538","ECOM","3118","Microsoft PowerPoint Level 2","Take your presentations from ordinary to extraordinary with the powerful features of PowerPoint.  Present your information with dynamic-looking charts and use PowerPoint’s SmartArt tool, a handy new feature that lets you create and insert designer-quality diagrams. Create impact with transition and animation effects, and keep things interesting and entertaining with multimedia. Create and share dynamic presentations with exciting new audio and visual capabilities to help you tell a story that is as easy to create as it is powerful to watch.

Prerequisite: Microsoft Windows or equivalent experience.

Requirements: None",2012-11-20 12:00 AM,2012-11-22 12:00 AM,"1800","2059","TR",2013-05-01 06:00 PM,2013-05-01 09:00 PM,179,8.95
"201382","1192","ECOM","3119","Microsoft Word Level 3","If you need to write a long report or thesis paper, standardize your company’s documents, or create fillable forms, you will maximize your Word skills in this advanced level. Learn how to quickly add cross-references, bookmarks, footnotes, as well as a table of contents, index, and bibliography into your reports. Save time and effort with templates and collect user data with forms. This course also teaches you to tailor Word to work the way you do by customizing commands and tools. Increase your productivity by automating your routine tasks and let Word do the work for you.

Prerequisite: Microsoft Word Level 2 or equivalent experience.

Requirements: None",2012-12-11 12:00 AM,2012-12-11 12:00 AM,"0900","1559","T",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","2343","ECOM","3128","CompTIA A+ Cert Training","RDC Continuing Education is proud to be a CompTIA Learning Alliance Partner.  Our certified training is what you have been looking for to kick start your career in Information Technology. For detailed information on the CompTIA A+ certification, visit www.comptia.org.  The worlwide standard in Computer Technician Certification Training! CompTIA A + certification validates foundation-level knowledge and skills necessary for a career in PC support.  It is the starting point for a career.  The international, vendor-neutral certification proves competence in areas such as installation, preventative maintenance, networking, security and troubleshooting.  A+ is the most widely recognized entry-level certifications in the IT industry today.  Taught by a certified instructor, this course includes CompTIA A+ official courseware and exam vouchers.",2012-10-20 12:00 AM,2012-11-03 12:00 AM,"0900","1659","S",2013-05-01 09:00 AM,2013-05-01 05:00 PM,3790,94.75
"201382","2343","ECOM","3128","CompTIA A+ Cert Training","RDC Continuing Education is proud to be a CompTIA Learning Alliance Partner.  Our certified training is what you have been looking for to kick start your career in Information Technology. For detailed information on the CompTIA A+ certification, visit www.comptia.org.  The worlwide standard in Computer Technician Certification Training! CompTIA A + certification validates foundation-level knowledge and skills necessary for a career in PC support.  It is the starting point for a career.  The international, vendor-neutral certification proves competence in areas such as installation, preventative maintenance, networking, security and troubleshooting.  A+ is the most widely recognized entry-level certifications in the IT industry today.  Taught by a certified instructor, this course includes CompTIA A+ official courseware and exam vouchers.",2012-11-17 12:00 AM,2012-12-15 12:00 AM,"0900","1659","S",2013-05-01 09:00 AM,2013-05-01 05:00 PM,3790,94.75
"201382","1023","ECOM","3130","Microsoft Windows 7","Increase your productivity! Learning the best ways to navigate, organize, and manage your computer and its contents. With RDC's Microsoft Windows 7 course, users at any technical level learn exactly what they need to know. This introductory course explores the extensive features of Microsoft’s newest desktop operating system, including:
• what’s new and exciting in Windows 7
• how to effectively manage software
• creating and organize files & folders
• how to navigate your way through multiple windows

Prerequisite: Basic computer and mouse skills.",2012-09-21 12:00 AM,2012-09-21 12:00 AM,"0900","1559","F",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","2530","ECOM","3130","Microsoft Windows 7","Increase your productivity! Learning the best ways to navigate, organize, and manage your computer and its contents. With RDC's Microsoft Windows 7 course, users at any technical level learn exactly what they need to know. This introductory course explores the extensive features of Microsoft’s newest desktop operating system, including:
• what’s new and exciting in Windows 7
• how to effectively manage software
• creating and organize files & folders
• how to navigate your way through multiple windows

Prerequisite: Basic computer and mouse skills.",2012-12-08 12:00 AM,2012-12-08 12:00 AM,"0900","1559","S",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","1038","ECOM","3133","Simply Accounting Level 1","Take the mystery out of managing cash so you are free to concentrate on generating more of it. Sage 50 Premium Accounting (Formerly known as Simply Accounting) is a widely used computerized accounting system for small to medium sized businesses. Create order from chaos, ensure healthy cash flow, make 
good short-term decisions, and follow sound long-term strategies. 
Learn how to perform daily accounting tasks in
•	General Ledger
•	Accounts Receivable
•	Accounts Payable
•	Payroll
Focus your time and energy on serving your best customers while the software simplifies your daily accounting tasks.

Prerequisite: Experience with Microsoft Windows and Small Business Bookkeeping course, or equivalent experience.

Requirements: Textbooks Simply Accounting Premium 2012 Level 1 (ECOM 3133)
Available at the RDC Bookstore. Required for the first class.",2012-10-16 12:00 AM,2012-11-01 12:00 AM,"1800","2059","TR",2013-05-01 06:00 PM,2013-05-01 09:00 PM,395,19.75
"201382","1039","ECOM","3133","Simply Accounting Level 1","Take the mystery out of managing cash so you are free to concentrate on generating more of it. Sage 50 Premium Accounting (Formerly known as Simply Accounting) is a widely used computerized accounting system for small to medium sized businesses. Create order from chaos, ensure healthy cash flow, make 
good short-term decisions, and follow sound long-term strategies. 
Learn how to perform daily accounting tasks in
•	General Ledger
•	Accounts Receivable
•	Accounts Payable
•	Payroll
Focus your time and energy on serving your best customers while the software simplifies your daily accounting tasks.

Prerequisite: Experience with Microsoft Windows and Small Business Bookkeeping course, or equivalent experience.

Requirements: Textbooks Simply Accounting Premium 2012 Level 1 (ECOM 3133)
Available at the RDC Bookstore. Required for the first class.",2012-11-13 12:00 AM,2012-11-27 12:00 AM,"0900","1559","T",2013-05-01 09:00 AM,2013-05-01 04:00 PM,395,19.75
"201382","2236","ECOM","3138","Microsoft Outlook","Get organized with Microsoft Outlook, the premium business and personal e-mail management tool used by more than 500 million people worldwide. Send and receive e-mail messages, schedule appointments and meetings, book meeting rooms, and organize your contacts and addresses. It also reminds you of tasks you need to complete.Stay in touch, never miss an appointment, keep on top of your tasks, and be organized.

Prerequisite: Microsoft Windows experience.

Requirements: None",2012-11-08 12:00 AM,2012-11-08 12:00 AM,"0900","1559","R",2013-05-01 09:00 AM,2013-05-01 04:00 PM,179,8.95
"201382","1180","ECOM","3140","QuickBooks Level 1","Quickbooks is one of the most popular and easy to use accounting programs available. Whether your business is just getting started or established and expanding, QuickBooks can help you get organized, save time and simplify what you do every day.
Learn basic Quickbooks operations such as:
•	Adding to the general ledger
•	Accounts receivable
•	Accounts Payable
•	Payroll
Easier than spreadsheets and faster than manual bookkeeping, Quickbooks allows you to spend less time on everyday tasks and more time on running your business.

Prerequisite: Experience with Microsoft Windows and Small Business Bookkeeping course, or equivalent experience.

Requirements: Textbooks: QuickBooks Premier 2011 Level 1 (ECOM 3140) 
Available at the RDC Bookstore. Required for the first class.",2012-11-08 12:00 AM,2012-11-22 12:00 AM,"0900","1559","R",2013-05-01 09:00 AM,2013-05-01 04:00 PM,395,19.75
"201382","2378","ECOM","3155","Excel Advanced - Formulas","Increase your Excel skills by learning some of the most common formulas and functions used in creating business spreadsheets. This course reviews absolute and relative references including:
•	Order of operations 
•	The Function Library: financial, logical, text, lookup & reference, math & trig,   statistical, and database
•	Calculate percentages
•	Linking formulas across multiple worksheets or workbooks
•	Lookup tables and IF statements
Improve your formula writing skills to create more efficient worksheets.

Prerequisite: Microsoft Excel Level 3

Requirements: None",2012-12-17 12:00 AM,2012-12-18 12:00 AM,"0900","1559","MT",2013-05-01 09:00 AM,2013-05-01 04:00 PM,395,19.75
"201382","2098","ECOM","3228","Time Management with Outlook","The secret to better time management is easier than you think! This practical, hands-on course will show you how to use the extensive features of Microsoft Outlook to manage both personal and business productivity through correct prioritizing and planning. 

Use an integrated management tool that increases your productivity and makes your life a whole lot easier.

Prerequisite: Basic computer skills",2012-11-19 12:00 AM,2012-11-19 12:00 AM,"0900","1559","M",2013-05-01 09:00 AM,2013-05-01 04:00 PM,225,11.24
"201382","1887","ECOM","3231","Adobe Photoshop Elements","Transform your photos into dramatic pieces of art with Photoshop Elements. This home-use version of the professional standard for image editing, allows you to easily edit photos and make photo creations using automated options, share photos with your social network, and find and view all your photos and video clips.
This course covers:
•	Photo galleries and slide shows
•	Photo enhancements and colour corrections
•	Create full panoramas
•	Back-up and archiving
Turn everyday memories into sensational photos you will cherish forever. 

Prerequisite: Experience with Microsoft Windows.

Requirements: Textbook: Adobe Photoshop Elements 10 Classroom in a Book (ECOM 3231). Available at the RDC Campus Store.",2012-11-03 12:00 AM,2012-11-04 12:00 AM,"0900","1559","SU",2013-05-01 09:00 AM,2013-05-01 04:00 PM,295,14.75
"201382","2385","ECOM","3252","What's New in Office 2010?","Are you upgrading your Microsoft Office and are the new features unfamiliar and a little intimidating? Microsoft Office 2010 has added tools that improve and enhance your documents, making it easier than ever to create professional and impressive documents. Boost your productivity by learning the new Office interface and its easy-to-use and powerful tools. Understand the exciting new features in Word 2010, Excel 2010, Outlook 2010, and PowerPoint 2010.

Prerequisite: A basic understanding of Microsoft Office applications",2012-10-09 12:00 AM,2012-10-09 12:00 AM,"0900","1559","T",2013-05-01 09:00 AM,2013-05-01 04:00 PM,195,9.75
"201382","2386","ECOM","3252","What's New in Office 2010?","Are you upgrading your Microsoft Office and are the new features unfamiliar and a little intimidating? Microsoft Office 2010 has added tools that improve and enhance your documents, making it easier than ever to create professional and impressive documents. Boost your productivity by learning the new Office interface and its easy-to-use and powerful tools. Understand the exciting new features in Word 2010, Excel 2010, Outlook 2010, and PowerPoint 2010.

Prerequisite: A basic understanding of Microsoft Office applications",2012-12-03 12:00 AM,2012-12-05 12:00 AM,"1800","2059","MW",2013-05-01 06:00 PM,2013-05-01 09:00 PM,195,9.75
"201382","2110","ECOM","3259","Google Analytics","If you are not reviewing your website statistics, then you are missing several key opportunities to profit from your website traffic. This course, aimed at non-technical users, will take you through all the key techniques and how to use website analytics using the world-standard Google Analytics, a free online tool.
You’ll understand your visitor traffic better, learn how to calculate return on investment (ROI) for your online advertising, and find out how to get more conversions and sales from your website visitors. A must for anyone serious about leverage more success from their website.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,195,9.75
"201382","2127","ECOM","3275","Mac 101: Apple Essentials","Get the most from your Mac! If you are new to Apple Computers, or a PC user who has just switched to Mac, this course will help you develop a foundation of skills that will allow you to tap into the full power of your Mac. 

This course introduces you to the Mac OS X Operating System and will show you how customize your Mac, manage files and folders, connect iPods, digital cameras or other devices, use email and the internet, and even find out what to do when things don’t go as planned.  

This course also introduces you to iLife – a suite of digital authoring tools that comes with every Apple computer and includes:
•	iPhoto
•	iMovie
•	GarageBand
•	iDVD
•	iWeb",2012-11-24 12:00 AM,2012-12-01 12:00 AM,"0900","1559","S",2013-05-01 09:00 AM,2013-05-01 04:00 PM,295,14.75
"201382","2185","ECOM","3276","Small Business Bookkeeping","A well-kept set of financial records is an essential tool in the management of small businesses. With this introduction of a straightforward manual bookkeeping system, you will learn how to:

. Process information into the general journal, specialized journals and a synoptic
. Post entries into ledgers
. Prepare and understand financial statements, bank reconciliations 
. Process the GST 
. Administer payroll.

Textbooks: Participant to purchase Basic Bookkeeping: An Office Simulation and Basic Bookkeeping: Working Papers (ECOM 3276). Available at the RDC Campus Store, required for the first class.",2012-09-25 12:00 AM,2012-12-11 12:00 AM,"1830","2129","T",2013-05-01 06:30 PM,2013-05-01 09:30 PM,599,29.95
"201382","2345","ECOM","3285","Facebook for Business","Find out what goes on behind the scenes on Facebook Pages and how to increase the chances that your message is seen and acted on. Discover new tools and proven techniques to increase business and expand your reach. Discuss how to 
adapt your marketing message for the Facebook platform and how to integrate Facebook across all marketing areas. This is an advanced class and assumes you have started a Page on Facebook and have some basic knowledge of the platform.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,245,12.25
"201382","2346","ECOM","3286","Designing Successful Webinars","Webinars are a hot new meeting format that save money and reach more people than in-person meetings.  Use them for customer education, staff meetings and training, presentations, virtual seminars and much more.

The technology is simple, but good webinar presentation techniques are critical.  Discover the power of successful webinars for your business organization.  Then learn the 4 key strategies to make your webinars more successful.  Acquire techniques and tips that will make your webinars winners with your audiences.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,195,9.75
"201382","2347","ECOM","3287","Create Cell Phone Apps for Bus","Cell phone apps are the latest way smart businesses are reaching their customers. It seems that nearly everyone is carrying and using a Smartphone these days. Smart organizations across the globe are investing in building cell phone 
apps for their businesses. 

In this four- week course, we will provide you with step-by-step instructions on how non-technical users can build, deploy and market Smartphone applications across Android, iPhone and Blackberry platforms. The course is ideal for 
business owners and executives who want to understand how Smartphone applications can be inexpensively built, and also for technical users who want to understand to how quickly deploy smartphone applications.

This course may also be taken as part of the Mobile Marketing Certificate. See the Certificate program section of this guide for more details.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,245,12.25
"201382","2348","ECOM","3288","YouTube for Business","More than 100 million videos are viewed on YouTube each day. With tens of millions of unique visitors, YouTube is one of the top sites on the Internet and the second largest search engine. This online course shows you:

•	What types of video work best on YouTube
•	How other business organizations are using YouTube
•	How to create your own YouTube channel
•	The techniques of adding captions, annotations and other extra features

Take back proven strategies and techniques for making YouTube work successfully for your organization.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,245,12.25
"201382","2349","ECOM","3289","Cyber Security for Managers","Cyber security issues are all around us and reach nearly every part of our business and work, from online banking and education to Facebook and Wi-Fi. Finally, you can get up to date on Cyber Security basics and fundamentals. Designed for non-technical managers, directors and others in the work place, you will find out about threats and vulnerabilities, safeguards, common attacks, viruses, malware and spyware, disaster recover planning, Intrusion Detection/Prevention, basic security architecture, introductory forensics, and cyber terrorism. At the end of this course, you will have the knowledge needed to practice safer computing and safeguard your business and work information.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,245,12.25
"201382","2350","ECOM","3290","Successful Survey Techniques","Your customers hold the key to your organization’s success.  Getting to know your customers better means lower costs and better results, including higher retention, more customer satisfaction, more returning customers.
Surveys are one of the best ways to find out what your customers want, and how they want it. But too many surveys ask the wrong people the wrong questions.  Discover who to survey, what questions to ask, and the key to getting a higher 
response to your surveys.  
This hard-hitting practical course will yield a huge ROI for your organization. Whether you need to analyze profitability, satisfaction, service or all three, this course will generate increased sales, greater efficiency, or 
more effectiveness.  
Course includes a personal FREE critique of one of your surveys!",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,395,19.75
"201382","2351","ECOM","3291","Twitter","Twitter is a hot social media platform these days – and everyone seems to be using it. Learn the best way to take advantage of the unique opportunities Twitter offers – and discover the best ways to create relationships and network 
with your key constituents. You will find out the best – and easiest – techniques for successful interactions in the Twitterverse.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,195,9.75
"201382","2352","ECOM","3292","eMarketing Essentials Cert","This program provides a fundamental introduction to eMarketing through improving email promotions, analyzing website traffic, optimizing search engines, and executing successful online advertising. 

This certificate includes the following three courses:
. Improving Email Promotions
. Boosting your Website Traffic
. Online Advertising

No eMarketing experience or expertise is necessary.",2012-09-04 12:00 AM,2012-11-30 12:00 AM,"","","",,,495,24.75
"201382","2353","ECOM","3293","Improving Email Promotions","Discover new ways to improve your email promotions, including when to email, what to email, and testing email copy.  Then find out how to analyze your email response rates, including getting the bench marks for open rates and click 
through rates.  Learn how to improve your email promotion and responses with tracking and testing. 

Get a basic introduction to email promotions. If you are advanced, your instructor is an email expert and can answer your 
toughest questions as well.

This course may also be taken as part of the eMarketing Essentials Certificate. See the Certificate program section of this guide for more details.",2012-09-04 12:00 AM,2012-09-28 12:00 AM,"","","",,,195,9.75
"201382","2354","ECOM","3294","Boosting Your Website Traffic","Acquire the basic skills to boost your web site traffic, including how to analyze your visitor traffic, how to use search engine optimization to get greater visibility and exposure in Google searches, and how to redesign your web site copy to increase your visitors and results.

No experience necessary, but if you are at an advanced level, your instructor is an SEO expert and can answer your toughest questions as well.

This course may also be taken as part of the eMarketing Essentials Certificate. See the Certificate program section of this guide for more details.",2012-10-01 12:00 AM,2012-10-26 12:00 AM,"","","",,,195,9.75
"201382","2355","ECOM","3295","Online Advertising","Get the keys to making online advertising work for you and your organization.  See how pay-per-click advertising with Google AdWords works.  Find out how to test low budget Adword campaigns. Learn how you can target local audiences.  Then discover Facebook advertising and how you can determine the demographics and even numbers of people you want to reach.

No experience necessary, but if you are at an advanced level, your instructor is an online ad expert and can answer your toughest questions as well.",2012-11-05 12:00 AM,2012-11-30 12:00 AM,"","","",,,195,9.75
